"","sveitarfelag","verd","staerd"
"37764","Reykjavíkurborg",185000,86
"37765","Reykjavíkurborg",2e+05,80
"37766","Reykjavíkurborg",240000,74
"37767","Reykjavíkurborg",190000,55.3
"37768","Garðabær",174843,89.3
"37769","Reykjavíkurborg",195000,133.3
"37770","Reykjavíkurborg",332000,177.3
"37771","Hafnarfjarðarkaupstaður",240000,110
"37772","Reykjavíkurborg",180000,111.3
"37773","Reykjavíkurborg",180000,47
"37774","Hafnarfjarðarkaupstaður",180000,71.1
"37775","Reykjavíkurborg",190000,60
"37776","Reykjavíkurborg",185000,105
"37777","Garðabær",151898,110.6
"37778","Hafnarfjarðarkaupstaður",242000,109.7
"37779","Reykjavíkurborg",220000,64.4
"37780","Hafnarfjarðarkaupstaður",2e+05,116
"37781","Reykjavíkurborg",145000,50
"37782","Reykjavíkurborg",190000,70
"37783","Reykjavíkurborg",150000,68
"37784","Hafnarfjarðarkaupstaður",235000,124.3
"37785","Kópavogsbær",220000,60
"37786","Kópavogsbær",125000,100
"37787","Reykjavíkurborg",145000,64
"37788","Reykjavíkurborg",2e+05,91
"37789","Kópavogsbær",2e+05,105.3
"37790","Kópavogsbær",135000,60
"37791","Reykjavíkurborg",195000,65
"37792","Hafnarfjarðarkaupstaður",170000,71.3
"37793","Hafnarfjarðarkaupstaður",170000,75.2
"37794","Hafnarfjarðarkaupstaður",185000,98.5
"37795","Reykjavíkurborg",168500,60
"37796","Reykjavíkurborg",250000,102
"37797","Reykjavíkurborg",205000,98
"37798","Reykjavíkurborg",270000,86.5
"37799","Reykjavíkurborg",130000,67
"37800","Reykjavíkurborg",230000,100
"37801","Reykjavíkurborg",170000,68
"37802","Kópavogsbær",110000,60
"37803","Reykjavíkurborg",240000,106.4
"37804","Reykjavíkurborg",210000,61.7
"37805","Reykjavíkurborg",207000,76.8
"37806","Reykjavíkurborg",130000,60.2
"37807","Reykjavíkurborg",1e+05,78
"37808","Reykjavíkurborg",130000,33
"37809","Reykjavíkurborg",280000,100
"37810","Reykjavíkurborg",195000,77.4
"37811","Reykjavíkurborg",230000,126.7
"37812","Reykjavíkurborg",210000,83.8
"37813","Reykjavíkurborg",155648,42.9
"37814","Reykjavíkurborg",180000,62.4
"37815","Reykjavíkurborg",279000,136.8
"37816","Reykjavíkurborg",250000,110
"37817","Reykjavíkurborg",180000,57.3
"37818","Kópavogsbær",160000,75
"37819","Reykjavíkurborg",210000,86.2
"37820","Reykjavíkurborg",230000,86.6
"37821","Kópavogsbær",245000,97
"37822","Reykjavíkurborg",190000,83.4
"37823","Reykjavíkurborg",254000,53.5
"37824","Reykjavíkurborg",312000,120.5
"37825","Reykjavíkurborg",125000,38
"37826","Reykjavíkurborg",230000,77.6
"37827","Reykjavíkurborg",170000,90.4
"37828","Hafnarfjarðarkaupstaður",290000,233.4
"37829","Hafnarfjarðarkaupstaður",165000,54.4
"37830","Reykjavíkurborg",170000,54.3
"37831","Reykjavíkurborg",145000,45.9
"37832","Reykjavíkurborg",1e+05,23
"37833","Reykjavíkurborg",220000,93
"37834","Reykjavíkurborg",183727,72
"37835","Reykjavíkurborg",150000,50
"37836","Reykjavíkurborg",102067,41.6
"37837","Reykjavíkurborg",140000,67
"37838","Reykjavíkurborg",1e+05,65
"37839","Kópavogsbær",220000,97
"37840","Reykjavíkurborg",230000,97
"37841","Reykjavíkurborg",140000,75
"37842","Reykjavíkurborg",290000,132.9
"37843","Hafnarfjarðarkaupstaður",225000,96
"37844","Reykjavíkurborg",174000,57.4
"37845","Kópavogsbær",160000,50
"37846","Reykjavíkurborg",178000,77.3
"37847","Reykjavíkurborg",220000,91.5
"37848","Reykjavíkurborg",155000,45
"37849","Reykjavíkurborg",190000,77.2
"37850","Reykjavíkurborg",165000,55
"37851","Garðabær",295000,125.9
"37852","Reykjavíkurborg",130000,50
"37853","Kópavogsbær",1e+05,65
"37854","Kópavogsbær",150000,38.2
"37855","Reykjavíkurborg",190000,53.2
"37856","Kópavogsbær",215000,85
"37857","Reykjavíkurborg",230000,90.4
"37858","Reykjavíkurborg",2e+05,52
"37859","Garðabær",205000,50
"37860","Reykjavíkurborg",97000,62
"37861","Kópavogsbær",2e+05,64
"37862","Reykjavíkurborg",110000,45
"37863","Reykjavíkurborg",190000,72
"37864","Reykjavíkurborg",150000,79.7
"37865","Reykjavíkurborg",250000,95.9
"37866","Reykjavíkurborg",180000,84
"37867","Reykjavíkurborg",230000,83
"37868","Reykjavíkurborg",3e+05,169
"37869","Reykjavíkurborg",250000,76.9
"37870","Reykjavíkurborg",255000,110.8
"37871","Reykjavíkurborg",265000,95.2
"37872","Mosfellsbær",150000,60
"37873","Reykjavíkurborg",1e+05,34.5
"37874","Reykjavíkurborg",190000,50
"37875","Reykjavíkurborg",240000,70.5
"37876","Mosfellsbær",1e+05,130
"37877","Reykjavíkurborg",135000,69
"37878","Reykjavíkurborg",150000,60
"37879","Reykjavíkurborg",190000,56.8
"37880","Kópavogsbær",150000,75
"37881","Hafnarfjarðarkaupstaður",175000,63.2
"37882","Reykjavíkurborg",230000,112
"37883","Reykjavíkurborg",250000,100
"37884","Reykjavíkurborg",135000,97
"37885","Kópavogsbær",160000,60
"37886","Reykjavíkurborg",180000,73.2
"37887","Reykjavíkurborg",150000,32
"37888","Hafnarfjarðarkaupstaður",240000,143.9
"37889","Reykjavíkurborg",127000,35
"37890","Kópavogsbær",195000,108.2
"37891","Hafnarfjarðarkaupstaður",220000,114.1
"37892","Reykjavíkurborg",160000,100
"37893","Reykjavíkurborg",225000,99.2
"37894","Reykjavíkurborg",210000,67.5
"37895","Reykjavíkurborg",215000,70
"37896","Reykjavíkurborg",210985,75.6
"37897","Reykjavíkurborg",385000,208
"37898","Reykjavíkurborg",77696,33.9
"37899","Reykjavíkurborg",140000,43
"37900","Reykjavíkurborg",163000,50
"37901","Reykjavíkurborg",310000,95
"37902","Reykjavíkurborg",150000,94.4
"37903","Mosfellsbær",155134,55.6
"37904","Reykjavíkurborg",167000,58
"37905","Reykjavíkurborg",150000,70.8
"37906","Reykjavíkurborg",174000,57.5
"37907","Kópavogsbær",210000,73
"37908","Reykjavíkurborg",175000,47
"37909","Garðabær",240000,136.7
"37910","Reykjavíkurborg",180000,62
"37911","Reykjavíkurborg",165000,45.6
"37912","Reykjavíkurborg",130000,55.1
"37913","Reykjavíkurborg",135000,27.4
"37914","Mosfellsbær",235000,104.4
"37915","Garðabær",2e+05,100.5
"37916","Mosfellsbær",235000,87
"37917","Reykjavíkurborg",190000,93.3
"37918","Reykjavíkurborg",275000,90
"37919","Reykjavíkurborg",2e+05,52
"37920","Reykjavíkurborg",120000,90
"37921","Reykjavíkurborg",175000,88.8
"37922","Reykjavíkurborg",250000,81.6
"37923","Reykjavíkurborg",230000,98
"37924","Reykjavíkurborg",235000,90.2
"37925","Reykjavíkurborg",175000,48.9
"37926","Reykjavíkurborg",190000,65.5
"37927","Hafnarfjarðarkaupstaður",230000,85.2
"37928","Reykjavíkurborg",190000,65
"37929","Hafnarfjarðarkaupstaður",210000,90.9
"37930","Reykjavíkurborg",135000,64
"37931","Kópavogsbær",2e+05,92.4
"37932","Reykjavíkurborg",3e+05,123
"37933","Reykjavíkurborg",170000,60.8
"37934","Hafnarfjarðarkaupstaður",150000,74.8
"37935","Garðabær",150000,91.7
"37936","Reykjavíkurborg",180000,54
"37937","Kópavogsbær",350000,126
"37938","Reykjavíkurborg",180000,74.4
"37939","Kópavogsbær",170000,50
"37940","Reykjavíkurborg",225000,51.4
"37941","Reykjavíkurborg",165000,61.9
"37942","Reykjavíkurborg",245000,99.5
"37943","Kópavogsbær",230000,93
"37944","Hafnarfjarðarkaupstaður",205000,109.8
"37945","Reykjavíkurborg",2e+05,89.3
"37946","Hafnarfjarðarkaupstaður",210000,102
"37947","Reykjavíkurborg",225000,81.9
"37948","Hafnarfjarðarkaupstaður",180000,118
"37949","Reykjavíkurborg",120000,43
"37950","Kópavogsbær",2e+05,50
"37951","Reykjavíkurborg",145000,46.3
"37952","Reykjavíkurborg",180000,100
"37953","Reykjavíkurborg",245000,105.7
"37954","Reykjavíkurborg",2e+05,100
"37955","Reykjavíkurborg",288000,144.4
"37956","Hafnarfjarðarkaupstaður",193000,80
"37957","Hafnarfjarðarkaupstaður",260000,106
"37958","Reykjavíkurborg",160000,52
"37959","Reykjavíkurborg",160000,57.7
"37960","Reykjavíkurborg",102888,64
"37961","Reykjavíkurborg",150000,64.2
"37962","Reykjavíkurborg",87000,75
"37963","Reykjavíkurborg",140000,50
"37964","Reykjavíkurborg",185000,77
"37965","Mosfellsbær",243100,109.8
"37966","Reykjavíkurborg",190000,102.8
"37967","Kópavogsbær",180000,55.6
"37968","Hafnarfjarðarkaupstaður",2e+05,67
"37969","Reykjavíkurborg",210000,81.3
"37970","Reykjavíkurborg",155000,40.1
"37971","Reykjavíkurborg",195000,83
"37972","Kópavogsbær",260000,132
"37973","Reykjavíkurborg",265000,86.9
"37974","Garðabær",250000,94
"37975","Hafnarfjarðarkaupstaður",220000,80
"37976","Reykjavíkurborg",185000,67
"37977","Reykjavíkurborg",150000,31
"37978","Reykjavíkurborg",185000,67
"37979","Reykjavíkurborg",155000,48
"37980","Reykjavíkurborg",201914,65
"37981","Kópavogsbær",120000,60
"37982","Reykjavíkurborg",174000,57.4
"37983","Reykjavíkurborg",257000,70
"37984","Hafnarfjarðarkaupstaður",190000,80.6
"37985","Reykjavíkurborg",270000,128.9
"37986","Kópavogsbær",172000,54.1
"37987","Reykjavíkurborg",220000,139.4
"37988","Reykjavíkurborg",180000,53.8
"37989","Reykjavíkurborg",205000,80.7
"37990","Kópavogsbær",222350,135.5
"37991","Hafnarfjarðarkaupstaður",230000,71.4
"37992","Reykjavíkurborg",230000,96
"37993","Reykjavíkurborg",180000,87.1
"37994","Reykjavíkurborg",2e+05,67.9
"37995","Reykjavíkurborg",160000,62.4
"37996","Reykjavíkurborg",173000,54.4
"37997","Reykjavíkurborg",180000,100
"37998","Kópavogsbær",270000,100
"37999","Reykjavíkurborg",190000,54.5
"38000","Kópavogsbær",260000,147.1
"38001","Hafnarfjarðarkaupstaður",90000,25
"38002","Hafnarfjarðarkaupstaður",2e+05,102.8
"38003","Reykjavíkurborg",210000,63.3
"38004","Reykjavíkurborg",233000,90.1
"38005","Reykjavíkurborg",65000,36.5
"38006","Kópavogsbær",250000,164.9
"38007","Reykjavíkurborg",109500,31.7
"38008","Reykjavíkurborg",230000,75.1
"38009","Kópavogsbær",210000,65
"38010","Reykjavíkurborg",180000,60
"38011","Kópavogsbær",192400,75.1
"38012","Reykjavíkurborg",265000,103
"38013","Kópavogsbær",205000,93
"38014","Reykjavíkurborg",212000,97.4
"38015","Hafnarfjarðarkaupstaður",250000,120.2
"38016","Reykjavíkurborg",140000,32.1
"38017","Reykjavíkurborg",230000,87.6
"38018","Hafnarfjarðarkaupstaður",190000,84
"38019","Reykjavíkurborg",170000,72
"38020","Reykjavíkurborg",230000,100.9
"38021","Reykjavíkurborg",215000,93.3
"38022","Reykjavíkurborg",2e+05,108
"38023","Reykjavíkurborg",150000,40
"38024","Reykjavíkurborg",165000,55
"38025","Hafnarfjarðarkaupstaður",210000,106
"38026","Reykjavíkurborg",2e+05,60
"38027","Reykjavíkurborg",170000,59
"38028","Mosfellsbær",175000,68.9
"38029","Reykjavíkurborg",105000,70.7
"38030","Reykjavíkurborg",165000,37
"38031","Reykjavíkurborg",230000,89
"38032","Reykjavíkurborg",80000,30
"38033","Reykjavíkurborg",225000,125.7
"38034","Reykjavíkurborg",204000,79.6
"38035","Mosfellsbær",162000,94
"38036","Reykjavíkurborg",2e+05,117.4
"38037","Reykjavíkurborg",180000,61.7
"38038","Reykjavíkurborg",170000,62
"38039","Kópavogsbær",160000,83
"38040","Reykjavíkurborg",240000,116
"38041","Reykjavíkurborg",250000,120
"38042","Reykjavíkurborg",190000,67.4
"38043","Reykjavíkurborg",190000,67
"38044","Reykjavíkurborg",2e+05,54
"38045","Reykjavíkurborg",225000,77
"38046","Reykjavíkurborg",2e+05,67
"38047","Reykjavíkurborg",110000,28.1
"38048","Reykjavíkurborg",240000,87.9
"38049","Hafnarfjarðarkaupstaður",175000,73.1
"38050","Reykjavíkurborg",190000,85.8
"38051","Kópavogsbær",135000,40
"38052","Reykjavíkurborg",360000,138
"38053","Reykjavíkurborg",150000,49.4
"38054","Reykjavíkurborg",140000,64.6
"38055","Reykjavíkurborg",240000,74.7
"38056","Reykjavíkurborg",150000,64.2
"38057","Reykjavíkurborg",215000,79.6
"38058","Reykjavíkurborg",210000,51.4
"38059","Reykjavíkurborg",240000,107.5
"38060","Reykjavíkurborg",150000,130.2
"38061","Hafnarfjarðarkaupstaður",180000,59.5
"38062","Reykjavíkurborg",190000,97.9
"38063","Hafnarfjarðarkaupstaður",205000,110.6
"38064","Reykjavíkurborg",125000,59
"38065","Reykjavíkurborg",213276,78.6
"38066","Mosfellsbær",195699,125.2
"38067","Reykjavíkurborg",160000,60.4
"38068","Reykjavíkurborg",180000,94.2
"38069","Reykjavíkurborg",120000,56
"38070","Reykjavíkurborg",190000,65.1
"38071","Kópavogsbær",110000,100.7
"38072","Reykjavíkurborg",170000,59.9
"38073","Kópavogsbær",261945,89
"38074","Garðabær",250000,60
"38075","Reykjavíkurborg",170000,38.9
"38076","Kópavogsbær",2e+05,77.1
"38077","Reykjavíkurborg",185000,63.9
"38078","Reykjavíkurborg",145000,77.3
"38079","Reykjavíkurborg",2e+05,83
"38080","Hafnarfjarðarkaupstaður",210000,125.8
"38081","Reykjavíkurborg",220000,63.2
"38082","Hafnarfjarðarkaupstaður",230000,107
"38083","Reykjavíkurborg",160000,40
"38084","Kópavogsbær",160000,96
"38085","Kópavogsbær",170000,54.3
"38086","Mosfellsbær",109768,87.1
"38087","Reykjavíkurborg",230000,75
"38088","Mosfellsbær",125000,43
"38089","Kópavogsbær",150000,40
"38090","Reykjavíkurborg",88000,45
"38091","Reykjavíkurborg",2e+05,120
"38092","Reykjavíkurborg",150000,42.4
"38093","Reykjavíkurborg",2e+05,120
"38094","Reykjavíkurborg",133000,80
"38095","Kópavogsbær",260000,100.9
"38096","Reykjavíkurborg",85000,80
"38097","Reykjavíkurborg",215000,74
"38098","Mosfellsbær",220000,92.4
"38099","Reykjavíkurborg",170000,54
"38100","Reykjavíkurborg",231000,88.9
"38101","Kópavogsbær",190000,45
"38102","Garðabær",230000,104.7
"38103","Kópavogsbær",185000,82
"38104","Hafnarfjarðarkaupstaður",160000,68.3
"38105","Reykjavíkurborg",160000,47.3
"38106","Kópavogsbær",120000,40
"38107","Reykjavíkurborg",2e+05,56
"38108","Hafnarfjarðarkaupstaður",170000,77.8
"38109","Reykjavíkurborg",220000,99.9
"38110","Reykjavíkurborg",170000,56.6
"38111","Mosfellsbær",216500,103
"38112","Reykjavíkurborg",213000,91.5
"38113","Reykjavíkurborg",180000,77.6
"38114","Reykjavíkurborg",245000,112.7
"38115","Hafnarfjarðarkaupstaður",195000,80
"38116","Garðabær",3e+05,119.4
"38117","Reykjavíkurborg",2e+05,56.8
"38118","Reykjavíkurborg",203000,80.6
"38119","Reykjavíkurborg",185000,60.6
"38120","Hafnarfjarðarkaupstaður",215000,79.9
"38121","Reykjavíkurborg",150000,97.6
"38122","Reykjavíkurborg",215000,97.6
"38123","Reykjavíkurborg",185000,67
"38124","Reykjavíkurborg",280000,108.2
"38125","Reykjavíkurborg",135000,60
"38126","Kópavogsbær",99000,40
"38127","Reykjavíkurborg",190000,56.2
"38128","Reykjavíkurborg",220000,66.7
"38129","Reykjavíkurborg",180000,88.9
"38130","Reykjavíkurborg",240000,60.7
"38131","Reykjavíkurborg",220000,122.8
"38132","Reykjavíkurborg",144000,53.7
"38133","Hafnarfjarðarkaupstaður",210000,94
"38134","Reykjavíkurborg",170000,68
"38135","Reykjavíkurborg",170000,99
"38136","Mosfellsbær",220000,95
"38137","Hafnarfjarðarkaupstaður",185000,73.5
"38138","Kópavogsbær",130000,58.2
"38139","Kópavogsbær",165000,58
"38140","Reykjavíkurborg",168000,136
"38141","Reykjavíkurborg",210000,60
"38142","Reykjavíkurborg",2e+05,50
"38143","Reykjavíkurborg",220000,67.3
"38144","Mosfellsbær",220000,80
"38145","Reykjavíkurborg",230000,102
"38146","Reykjavíkurborg",160000,36.6
"38147","Reykjavíkurborg",162721,111.6
"38148","Reykjavíkurborg",111360,47.9
"38149","Reykjavíkurborg",1e+05,26
"38150","Reykjavíkurborg",175000,54
"38151","Reykjavíkurborg",175000,110
"38152","Kópavogsbær",170926,90
"38153","Kópavogsbær",175000,62.1
"38154","Hafnarfjarðarkaupstaður",155000,120
"38155","Reykjavíkurborg",168000,70
"38156","Reykjavíkurborg",220000,80
"38157","Reykjavíkurborg",88000,45
"38158","Hafnarfjarðarkaupstaður",180000,62
"38159","Reykjavíkurborg",250000,72.6
"38160","Reykjavíkurborg",155000,51.4
"38161","Reykjavíkurborg",150000,84
"38162","Reykjavíkurborg",175000,55.8
"38163","Reykjavíkurborg",235000,109.7
"38164","Reykjavíkurborg",150000,68
"38165","Reykjavíkurborg",260000,102
"38166","Hafnarfjarðarkaupstaður",181500,74.8
"38167","Reykjavíkurborg",167000,56.8
"38168","Reykjavíkurborg",130000,57
"38169","Reykjavíkurborg",230000,61
"38170","Reykjavíkurborg",3e+05,115.7
"38171","Hafnarfjarðarkaupstaður",145000,54
"38172","Mosfellsbær",185000,69.1
"38173","Reykjavíkurborg",133220,58.9
"38174","Reykjavíkurborg",250000,90
"38175","Reykjavíkurborg",90000,48
"38176","Reykjavíkurborg",140000,88.2
"38177","Hafnarfjarðarkaupstaður",175000,56
"38178","Reykjavíkurborg",280000,90
"38179","Reykjavíkurborg",155000,70
"38180","Reykjavíkurborg",240000,104.2
"38181","Reykjavíkurborg",160000,50
"38182","Reykjavíkurborg",260000,97.3
"38183","Hafnarfjarðarkaupstaður",121761,44.1
"38184","Reykjavíkurborg",175000,60
"38185","Reykjavíkurborg",290000,118.9
"38186","Reykjavíkurborg",1e+05,48
"38187","Reykjavíkurborg",195000,48
"38188","Reykjavíkurborg",90000,42.9
"38189","Hafnarfjarðarkaupstaður",210000,92
"38190","Reykjavíkurborg",145000,59.1
"38191","Reykjavíkurborg",3e+05,135.5
"38192","Reykjavíkurborg",2e+05,50
"38193","Hafnarfjarðarkaupstaður",168000,88
"38194","Reykjavíkurborg",195000,85
"38195","Hafnarfjarðarkaupstaður",110000,46
"38196","Kópavogsbær",280000,136
"38197","Reykjavíkurborg",350000,77
"38198","Kópavogsbær",140000,42
"38199","Reykjavíkurborg",280000,108.5
"38200","Kópavogsbær",195000,90
"38201","Reykjavíkurborg",240000,124.8
"38202","Reykjavíkurborg",160000,60
"38203","Reykjavíkurborg",430000,78.7
"38204","Reykjavíkurborg",190000,74.3
"38205","Reykjavíkurborg",140000,44.1
"38206","Kópavogsbær",625000,190
"38207","Reykjavíkurborg",290000,84.6
"38208","Reykjavíkurborg",144325,85
"38209","Mosfellsbær",120000,64.3
"38210","Reykjavíkurborg",120000,35
"38211","Reykjavíkurborg",120000,97.1
"38212","Hafnarfjarðarkaupstaður",240000,100
"38213","Reykjavíkurborg",190000,78.3
"38214","Reykjavíkurborg",220000,89
"38215","Reykjavíkurborg",1e+05,60
"38216","Reykjavíkurborg",240130,97.3
"38217","Reykjavíkurborg",430000,126.1
"38218","Reykjavíkurborg",320000,86
"38219","Reykjavíkurborg",138713,58.1
"38220","Reykjavíkurborg",245000,116.2
"38221","Hafnarfjarðarkaupstaður",193000,102
"38222","Reykjavíkurborg",158491,55.3
"38223","Reykjavíkurborg",188500,47
"38224","Reykjavíkurborg",250000,89
"38225","Hafnarfjarðarkaupstaður",235000,79.9
"38226","Reykjavíkurborg",160000,56.5
"38227","Garðabær",2e+05,110.6
"38228","Reykjavíkurborg",157000,105.3
"38229","Reykjavíkurborg",230000,92.3
"38230","Reykjavíkurborg",250000,77.3
"38231","Kópavogsbær",155000,85
"38232","Reykjavíkurborg",310000,149.6
"38233","Reykjavíkurborg",220000,110
"38234","Reykjavíkurborg",113000,33
"38235","Kópavogsbær",230000,96.7
"38236","Hafnarfjarðarkaupstaður",155000,85.2
"38237","Hafnarfjarðarkaupstaður",170000,81.8
"38238","Reykjavíkurborg",80650,70
"38239","Reykjavíkurborg",178800,42.8
"38240","Reykjavíkurborg",90000,50
"38241","Reykjavíkurborg",180000,66.5
"38242","Reykjavíkurborg",170000,75.9
"38243","Reykjavíkurborg",180000,77.6
"38244","Hafnarfjarðarkaupstaður",130000,38
"38245","Reykjavíkurborg",150000,54
"38246","Reykjavíkurborg",226206,85
"38247","Reykjavíkurborg",1e+05,156.8
"38248","Reykjavíkurborg",150000,95
"38249","Kópavogsbær",2e+05,112.7
"38250","Reykjavíkurborg",177000,70
"38251","Hafnarfjarðarkaupstaður",212000,86.4
"38252","Reykjavíkurborg",180000,71.1
"38253","Reykjavíkurborg",147244,79.4
"38254","Reykjavíkurborg",250000,109
"38255","Reykjavíkurborg",215000,73.5
"38256","Reykjavíkurborg",84606,33.4
"38257","Reykjavíkurborg",250000,155.6
"38258","Reykjavíkurborg",215000,55.8
"38259","Reykjavíkurborg",265000,80
"38260","Garðabær",2e+05,108
"38261","Reykjavíkurborg",210000,120
"38262","Reykjavíkurborg",150000,67
"38263","Garðabær",185000,122.4
"38264","Reykjavíkurborg",150000,107.6
"38265","Reykjavíkurborg",250000,115.9
"38266","Reykjavíkurborg",170000,53.8
"38267","Reykjavíkurborg",2e+05,79.3
"38268","Reykjavíkurborg",180000,39
"38269","Reykjavíkurborg",210000,83.2
"38270","Reykjavíkurborg",95000,53
"38271","Reykjavíkurborg",146067,79.5
"38272","Reykjavíkurborg",250000,105.2
"38273","Reykjavíkurborg",214000,89.6
"38274","Hafnarfjarðarkaupstaður",260000,130
"38275","Reykjavíkurborg",140000,56.3
"38276","Reykjavíkurborg",130000,60
"38277","Reykjavíkurborg",160000,70
"38278","Reykjavíkurborg",140500,40
"38279","Kópavogsbær",230000,50
"38280","Reykjavíkurborg",189166,109
"38281","Reykjavíkurborg",190000,58.8
"38282","Reykjavíkurborg",106571,57.1
"38283","Reykjavíkurborg",145000,60
"38284","Garðabær",235000,100
"38285","Reykjavíkurborg",2e+05,48.9
"38286","Reykjavíkurborg",2e+05,109.9
"38287","Reykjavíkurborg",110000,30
"38288","Reykjavíkurborg",288000,145.2
"38289","Reykjavíkurborg",245000,87.8
"38290","Reykjavíkurborg",195000,52.3
"38291","Reykjavíkurborg",160000,37.8
"38292","Reykjavíkurborg",185000,57
"38293","Hafnarfjarðarkaupstaður",230000,79.5
"38294","Kópavogsbær",238494,89
"38295","Reykjavíkurborg",265000,148
"38296","Reykjavíkurborg",180000,75
"38297","Reykjavíkurborg",2e+05,77.4
"38298","Reykjavíkurborg",175000,61.2
"38299","Hafnarfjarðarkaupstaður",220000,109
"38300","Reykjavíkurborg",165000,82.9
"38301","Reykjavíkurborg",170000,77.4
"38302","Kópavogsbær",250000,87.6
"38303","Kópavogsbær",150000,90
"38304","Reykjavíkurborg",110000,50
"38305","Reykjavíkurborg",150000,54.6
"38306","Reykjavíkurborg",180000,61.9
"38307","Reykjavíkurborg",250000,64.1
"38308","Hafnarfjarðarkaupstaður",250000,129.7
"38309","Reykjavíkurborg",140000,80
"38310","Reykjavíkurborg",210000,79.4
"38311","Reykjavíkurborg",190000,99
"38312","Reykjavíkurborg",470000,294
"38313","Reykjavíkurborg",187000,45
"38314","Mosfellsbær",258742,149.2
"38315","Reykjavíkurborg",95000,40
"38316","Reykjavíkurborg",85000,30
"38317","Reykjavíkurborg",290000,92.5
"38318","Reykjavíkurborg",380000,143.2
"38319","Hafnarfjarðarkaupstaður",205000,82.5
"38320","Reykjavíkurborg",220000,96.2
"38321","Hafnarfjarðarkaupstaður",250000,103
"38322","Reykjavíkurborg",130000,57
"38323","Reykjavíkurborg",205000,63
"38324","Mosfellsbær",227000,81.1
"38325","Reykjavíkurborg",99600,50
"38326","Reykjavíkurborg",120000,83
"38327","Kópavogsbær",230000,83
"38328","Reykjavíkurborg",172500,44
"38329","Reykjavíkurborg",80000,30
"38330","Reykjavíkurborg",225000,72
"38331","Hafnarfjarðarkaupstaður",4e+05,212.1
"38332","Reykjavíkurborg",113000,32.3
"38333","Reykjavíkurborg",240000,78
"38334","Mosfellsbær",1e+05,50
"38335","Reykjavíkurborg",175000,85.5
"38336","Hafnarfjarðarkaupstaður",205000,98.7
"38337","Reykjavíkurborg",170000,35
"38338","Reykjavíkurborg",1e+05,50
"38339","Hafnarfjarðarkaupstaður",250000,96
"38340","Reykjavíkurborg",150000,110
"38341","Reykjavíkurborg",190000,86.6
"38342","Reykjavíkurborg",280000,146.7
"38343","Reykjavíkurborg",250000,70
"38344","Reykjavíkurborg",120000,25
"38345","Reykjavíkurborg",220000,85.7
"38346","Reykjavíkurborg",250000,70
"38347","Hafnarfjarðarkaupstaður",170000,100.5
"38348","Reykjavíkurborg",135000,52.5
"38349","Mosfellsbær",90000,40
"38350","Reykjavíkurborg",110000,90
"38351","Reykjavíkurborg",230000,65
"38352","Reykjavíkurborg",70000,47.1
"38353","Reykjavíkurborg",250000,102
"38354","Reykjavíkurborg",160000,57.1
"38355","Reykjavíkurborg",182000,61.4
"38356","Kópavogsbær",120000,55
"38357","Reykjavíkurborg",130000,46
"38358","Reykjavíkurborg",150000,90
"38359","Garðabær",150000,70
"38360","Mosfellsbær",245000,114.9
"38361","Reykjavíkurborg",280000,160
"38362","Reykjavíkurborg",168000,52
"38363","Garðabær",180000,60
"38364","Reykjavíkurborg",135000,31.7
"38365","Reykjavíkurborg",145000,43.1
"38366","Hafnarfjarðarkaupstaður",210000,129.3
"38367","Reykjavíkurborg",195000,60.3
"38368","Reykjavíkurborg",210000,102
"38369","Reykjavíkurborg",120000,43.1
"38370","Reykjavíkurborg",130000,70
"38371","Reykjavíkurborg",170000,55
"38372","Reykjavíkurborg",80000,75
"38373","Kópavogsbær",225000,90
"38374","Reykjavíkurborg",135000,62.2
"38375","Reykjavíkurborg",235000,73
"38376","Reykjavíkurborg",180000,68.9
"38377","Reykjavíkurborg",190000,66.1
"38378","Reykjavíkurborg",185000,41
"38379","Reykjavíkurborg",130000,50.9
"38380","Hafnarfjarðarkaupstaður",220000,80
"38381","Kópavogsbær",2e+05,98.5
"38382","Reykjavíkurborg",120000,49
"38383","Hafnarfjarðarkaupstaður",220000,87
"38384","Reykjavíkurborg",402000,239.2
"38385","Reykjavíkurborg",190000,63
"38386","Reykjavíkurborg",165000,87.9
"38387","Kópavogsbær",225000,101.7
"38388","Mosfellsbær",170000,63.3
"38389","Hafnarfjarðarkaupstaður",180000,64
"38390","Reykjavíkurborg",360000,190
"38391","Reykjavíkurborg",250000,100
"38392","Reykjavíkurborg",2e+05,74.9
"38393","Hafnarfjarðarkaupstaður",160000,65
"38394","Reykjavíkurborg",165000,66
"38395","Reykjavíkurborg",210000,88
"38396","Reykjavíkurborg",150000,61
"38397","Kópavogsbær",196399,87.6
"38398","Reykjavíkurborg",180000,67
"38399","Reykjavíkurborg",125000,121.9
"38400","Mosfellsbær",185000,69.6
"38401","Reykjavíkurborg",175000,52.6
"38402","Reykjavíkurborg",142721,88.2
"38403","Kópavogsbær",255000,103.3
"38404","Reykjavíkurborg",156708,57.2
"38405","Reykjavíkurborg",159650,85
"38406","Hafnarfjarðarkaupstaður",180000,81
"38407","Hafnarfjarðarkaupstaður",244000,92.6
"38408","Reykjavíkurborg",180000,70
"38409","Reykjavíkurborg",160000,35
"38410","Reykjavíkurborg",210000,94
"38411","Reykjavíkurborg",155000,60
"38412","Reykjavíkurborg",272500,125.8
"38413","Reykjavíkurborg",190000,98.1
"38414","Reykjavíkurborg",109174,58.3
