"","sveitarfelag","verd","staerd"
"320","Reykjavíkurborg",1e+05,87.5
"321","Reykjavíkurborg",95000,68.9
"322","Reykjavíkurborg",150000,88.8
"323","Reykjavíkurborg",145000,110
"324","Reykjavíkurborg",86366,50.1
"325","Reykjavíkurborg",130000,50.9
"326","Reykjavíkurborg",130000,50.9
"327","Hafnarfjarðarkaupstaður",120000,87
"328","Reykjavíkurborg",105000,54.7
"329","Reykjavíkurborg",86366,66.7
"330","Kópavogsbær",115000,78
"331","Reykjavíkurborg",70000,35.6
"332","Reykjavíkurborg",110000,85
"333","Reykjavíkurborg",160000,77
"334","Reykjavíkurborg",140000,105
"335","Reykjavíkurborg",79000,56
"336","Reykjavíkurborg",80000,64.5
"337","Reykjavíkurborg",87835,54.8
"338","Mosfellsbær",158490,117.4
"339","Reykjavíkurborg",125000,86
"340","Reykjavíkurborg",85000,50
"341","Reykjavíkurborg",120000,130.8
"342","Reykjavíkurborg",92000,60
"343","Hafnarfjarðarkaupstaður",128000,80.8
"344","Hafnarfjarðarkaupstaður",85000,60
"345","Reykjavíkurborg",80000,47.1
"346","Reykjavíkurborg",80000,64
"347","Hafnarfjarðarkaupstaður",80000,50
"348","Hafnarfjarðarkaupstaður",130000,97.2
"349","Reykjavíkurborg",80000,69.1
"350","Reykjavíkurborg",90000,88
"351","Reykjavíkurborg",115000,83
"352","Hafnarfjarðarkaupstaður",108000,84.5
"353","Reykjavíkurborg",93000,75
"354","Hafnarfjarðarkaupstaður",1e+05,128.2
"355","Garðabær",84204,70
"356","Reykjavíkurborg",130000,86
"357","Reykjavíkurborg",90000,140
"358","Reykjavíkurborg",90000,80.5
"359","Reykjavíkurborg",110000,62
"360","Reykjavíkurborg",110000,68
"361","Reykjavíkurborg",96607,71.7
"362","Reykjavíkurborg",105000,65.9
"363","Reykjavíkurborg",120000,104
"364","Reykjavíkurborg",71051,38.8
"365","Reykjavíkurborg",1e+05,101.8
"366","Reykjavíkurborg",88000,60
"367","Reykjavíkurborg",130000,94.6
"368","Reykjavíkurborg",120000,97
"369","Reykjavíkurborg",71051,38.8
"370","Reykjavíkurborg",190000,220
"371","Reykjavíkurborg",95000,70
"372","Reykjavíkurborg",90000,119
"373","Reykjavíkurborg",121000,83
"374","Hafnarfjarðarkaupstaður",1e+05,80.2
"375","Reykjavíkurborg",65000,30
"376","Reykjavíkurborg",75000,60
"377","Hafnarfjarðarkaupstaður",126300,80
"378","Reykjavíkurborg",1e+05,45
"379","Reykjavíkurborg",180000,131
"380","Reykjavíkurborg",70000,34
"381","Reykjavíkurborg",130000,99
"382","Reykjavíkurborg",120000,75.9
"383","Mosfellsbær",1e+05,79
"384","Reykjavíkurborg",95000,65
"385","Reykjavíkurborg",120000,85.8
"386","Reykjavíkurborg",140000,89.9
"387","Hafnarfjarðarkaupstaður",130000,100.5
"388","Reykjavíkurborg",87622,42.9
"389","Kópavogsbær",140000,100.1
"390","Garðabær",140000,180
"391","Reykjavíkurborg",120000,98
"392","Hafnarfjarðarkaupstaður",85000,48
"393","Kópavogsbær",160000,128
"394","Reykjavíkurborg",90000,105.2
"395","Reykjavíkurborg",65000,60
"396","Reykjavíkurborg",75000,59.7
"397","Reykjavíkurborg",145000,75
"398","Reykjavíkurborg",110000,88.7
"399","Hafnarfjarðarkaupstaður",120000,138.2
