"","verd","staerd","fj_herb"
"452",310000,120,4
"453",198000,134.5,3
"454",107003,55.5,2
"455",250000,85.2,3
"456",132000,32.6,1
"457",141961,65.9,2
"458",203042,54.9,2
"459",273424,91.9,4
"460",123500,32.4,1
"461",320000,109,4
"462",160000,57.2,2
"463",185000,30,1
"464",127839,55.5,2
"465",210000,58,3
"466",140000,42.9,2
"467",230000,211.6,4
"468",85617,66.8,2
"469",180000,40,1
"470",180000,64.6,2
"471",80000,67,3
"472",180000,73,2
"473",137113,66.3,2
"474",195000,70,2
"475",199000,140.2,4
"476",2e+05,79.3,2
"477",258000,91,3
"478",165000,39.8,2
"479",210000,67.9,2
"480",170000,45.9,1
"481",230000,77.6,3
"482",120000,43.7,1
"483",250000,105.4,6
"484",188000,97.9,3
"485",155000,71.3,2
"486",180000,91.4,3
"487",160000,75,2
"488",218000,101,4
"489",210000,65,3
"490",192000,106.9,3
"491",159700,74,2
"492",168700,72.4,3
"493",120000,38,2
"494",80000,100,3
"495",230000,123.4,5
"496",1e+05,60,1
"497",153000,44.6,1
"498",132200,48.6,2
"499",170000,50,2
"500",240000,80,4
"501",250000,85,2
"502",230000,85.1,4
"503",2e+05,95,3
"504",131000,52.4,2
"505",130000,44.2,1
"506",118000,45.7,2
"507",245000,80.6,3
"508",180000,67,2
"509",2e+05,68.8,3
"510",199300,87.7,4
"511",250000,81.1,3
"512",245000,127.9,3
"513",265000,105.7,3
"514",176744,84.9,3
"515",126500,49.3,2
"516",227600,105.3,5
"517",166400,71.4,3
"518",240000,84.3,3
"519",210000,124.1,6
"520",225000,85.1,3
"521",208600,90.9,4
"522",169200,71.2,3
"523",159000,136,3
"524",114500,32.4,1
"525",2e+05,85,3
"526",130000,50,2
"527",270000,110.4,4
"528",168388,56.8,2
"529",135000,31.7,1
"530",143300,72.8,3
"531",194000,68.3,2
"532",158000,58.9,2
"533",130000,24,1
"534",158000,58.9,2
"535",195000,54,2
"536",159200,40,1
"537",158000,57.7,2
"538",135000,34,1
"539",145000,40,1
"540",2e+05,68.8,4
"541",160000,42.9,1
"542",250000,80.4,3
"543",167979,69.6,2
"544",290000,121,5
"545",232000,76,2
"546",260000,65,2
"547",2e+05,57.7,2
"548",178000,50,2
"549",225000,75,2
"550",270000,123.3,3
"551",230500,123.8,4
"552",138000,70,3
"553",270000,114.1,5
"554",2e+05,98,3
"555",240000,93.2,3
"556",220000,85,3
"557",2e+05,71.4,2
"558",240000,79.9,2
"559",276198,112.6,4
"560",260000,117.1,3
"561",230000,76,3
"562",230000,80.7,3
"563",180000,53.3,2
"564",170000,56.4,2
"565",215000,74.1,3
"566",170000,58.2,2
"567",180000,44,2
"568",155000,44.7,2
"569",155000,51.6,2
"570",250000,89.5,4
"571",177000,105.4,3
"572",190000,54.2,2
"573",210000,80,3
"574",199000,59.1,2
"575",250000,97.2,4
"576",238782,68.8,2
"577",150000,72.5,2
"578",250000,93,3
"579",170000,54.8,2
"580",190000,63.2,2
"581",2e+05,117,4
"582",120000,40,1
"583",210000,66.9,2
"584",145000,55,2
"585",155000,40,1
"586",240000,78.3,2
"587",207000,60,3
"588",236500,125.8,5
"589",190000,50.4,2
"590",248000,98,3
"591",225000,49.7,2
"592",265000,84.5,4
"593",124000,23.3,1
"594",170000,56,4
"595",240000,76,3
"596",160000,68,2
"597",210000,94.3,4
"598",310000,110.4,3
"599",250000,110,4
"600",170000,53.7,2
"601",220000,104.6,2
"602",230000,70,3
"603",120000,32,1
"604",135500,35.4,2
"605",223000,58.7,2
"606",264000,90,4
"607",135000,26,2
"608",210000,79.6,4
"609",240000,70,3
"610",170000,62.9,2
"611",2e+05,60,2
"612",185000,62.8,2
"613",240000,80,3
"614",215000,74.8,2
"615",178000,103.9,3
"616",280000,72.6,3
"617",120000,60,2
"618",140000,40,2
"619",2e+05,58,1
"620",190000,56,2
"621",270000,90,3
"622",215000,94,3
"623",275000,99,4
"624",120000,50,2
"625",1e+05,112,3
"626",210000,74.8,3
"627",230000,78.1,3
"628",120000,109,5
"629",228144,73.9,2
"630",240000,80.9,3
"631",180000,52,1
"632",245000,84.8,3
"633",198000,60.1,2
"634",235000,91.6,2
"635",221000,71.8,3
"636",220000,87,3
"637",135500,34.8,1
"638",2e+05,74,2
"639",210000,66.1,3
"640",304106,171.2,5
"641",260000,110.8,3
"642",170000,42.5,1
"643",190000,120,4
"644",150000,30,1
"645",280000,78.9,3
"646",145000,33,2
"647",280000,105,4
"648",3e+05,105,4
"649",114500,30,1
"650",170000,56,2
"651",170000,134.4,4
"652",226600,67,3
"653",208500,122.6,5
"654",165000,40,1
"655",260000,76.5,3
"656",250000,87,3
"657",230000,68,3
"658",2e+05,66.5,2
"659",165000,54.1,2
"660",150000,50,2
"661",110000,35.1,1
"662",235000,83,3
"663",113500,32.4,1
"664",113500,32.4,1
"665",176000,105.9,3
"666",160000,104.2,3
"667",180000,86.7,3
"668",220000,70,3
"669",305000,122,3
"670",2e+05,60.7,2
"671",175000,48,2
"672",150000,39.3,3
"673",190000,40.3,2
"674",180000,62.7,2
"675",140000,55.3,2
"676",257370,105.3,3
"677",257000,94.3,4
"678",163000,76.9,2
"679",220000,79.8,3
"680",118500,32.4,1
"681",175000,70.5,2
"682",210000,72,3
"683",195000,48.4,2
"684",262500,108.1,4
"685",215000,66,3
"686",120000,35,1
"687",124500,33.9,1
"688",225000,80,2
"689",295063,134.2,3
"690",153000,45.8,2
"691",114500,32.4,1
"692",155000,40,2
"693",250000,97.4,5
"694",150000,54,1
"695",270000,106.1,4
"696",130000,44.8,1
"697",223000,67,2
"698",198000,134.3,4
"699",210000,54.9,2
"700",220000,75,3
"701",232000,85,3
"702",178000,107.1,3
"703",253665,90.5,3
"704",125000,45,2
"705",183000,85,3
"706",226000,78,3
"707",195000,101.1,4
"708",166500,65.2,2
"709",304911,116.4,3
"710",265000,128.4,4
"711",270000,94.1,3
"712",150000,49.5,2
"713",180000,54.1,2
"714",280000,134,3
"715",232500,123.8,4
"716",160000,106.3,3
"717",217000,78,3
"718",260000,83.9,3
