id;ID2;hopur;stard_sk;Strf_ald;stadsetn;Hof_land;Ladhl;sp_a10;sp_b13;sp_b14;sp_a01;sp_c04;sp_b01;sp_b02;sp_b03;sp_b04;sp_a02;sp_a03;sp_a04;sp_a05;sp_a06;sp_a07;sp_a08;sp_a09;sp_b05;sp_b06;sp_b07;sp_b08;sp_b09;sp_b10;sp_b11;sp_b12;sp_c01;sp_c02;sp_c03;nmiss;Nmiss_f
100074;74;1;31;-999;4;2;3;-999;-999;-999;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;3;0
100075;75;1;51;-999;1;1;1;-999;-999;-999;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-999;1;1;1;1;1;1;1;1;4;1
100076;76;1;21;-999;4;2;3;-999;-999;-999;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;3;0
100077;77;1;31;-999;3;2;3;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100078;78;1;21;-999;3;2;3;-999;-999;-999;0;0;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;3;0
100079;79;1;31;-999;1;1;1;-999;-999;-999;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;3;0
100080;80;1;51;-999;1;1;1;-999;-999;-999;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;3;0
100081;81;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;3;0
100082;82;1;31;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;1;3;0
100083;83;1;31;-999;1;1;1;-999;-999;-999;0;1;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100084;84;1;51;-999;1;1;1;-999;-999;-999;1;-999;-999;1;1;1;1;0;1;1;1;-999;-999;-999;1;-999;1;1;0;1;1;0;1;1;1;9;6
100085;85;1;31;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;3;0
100086;86;1;51;-999;1;1;1;-999;-999;-999;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;3;0
100087;87;1;1;-999;4;2;3;-999;-999;-999;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;3;0
100088;88;1;31;-999;4;2;3;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100089;89;1;11;-999;1;1;1;-999;-999;-999;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;-999;1;4;1
100090;90;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;3;0
100091;91;1;1;-999;6;2;6;-999;-999;-999;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;3;0
100092;92;1;21;-999;3;2;3;-999;-999;-999;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;-999;1;-999;5;2
100093;93;1;11;-999;4;2;3;-999;-999;-999;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;0;1;0;3;0
100094;94;1;1;-999;6;2;6;-999;-999;-999;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;3;0
100095;95;1;31;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;-999;1;1;1;1;4;1
100096;96;1;1;-999;4;2;3;-999;-999;-999;1;1;1;1;1;1;1;0;1;-999;-999;1;1;1;1;1;1;1;-999;1;0;0;1;1;0;6;3
100097;97;1;31;-999;3;2;3;-999;-999;-999;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100098;98;1;1;-999;6;2;6;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;3;0
100099;99;1;11;-999;4;2;3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;27;24
100100;100;1;21;-999;1;1;1;-999;-999;-999;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;3;0
100101;101;1;21;-999;1;1;1;-999;-999;-999;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;3;0
100102;102;1;51;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;3;0
100103;103;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100104;104;1;21;-999;4;2;3;-999;-999;-999;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;3;0
100105;105;1;51;-999;1;1;1;-999;-999;-999;1;-999;-999;-999;1;1;1;1;1;0;1;0;0;0;-999;-999;1;1;1;1;1;0;-999;-999;-999;11;8
100106;106;1;21;-999;4;2;3;-999;-999;-999;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100107;107;1;21;-999;4;2;3;-999;-999;-999;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;3;0
100108;108;1;21;-999;4;2;3;-999;-999;-999;0;0;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;1;1;1;1;0;-999;1;-999;5;2
100109;109;1;51;-999;1;1;1;-999;-999;-999;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100110;110;1;1;-999;6;2;6;-999;-999;-999;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;3;0
100111;111;1;51;-999;1;1;1;-999;-999;-999;0;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;3;0
100112;112;1;31;-999;1;1;1;-999;-999;-999;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;0;3;0
100113;113;1;51;-999;1;1;1;-999;-999;-999;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100114;114;1;51;-999;1;1;1;-999;-999;-999;0;1;1;0;1;-999;0;0;1;0;1;0;0;1;1;1;0;0;-999;1;1;0;1;1;1;5;2
100115;115;1;21;-999;3;2;3;-999;-999;-999;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0
100116;116;1;31;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;3;0
100117;117;1;31;-999;4;2;3;-999;-999;-999;0;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;3;0
100118;118;1;21;-999;4;2;3;-999;-999;-999;0;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;3;0
100119;119;1;31;-999;6;2;6;-999;-999;-999;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100120;120;1;31;-999;3;2;3;-999;-999;-999;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100121;121;1;21;-999;3;2;3;-999;-999;-999;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;3;0
100122;122;1;31;-999;1;1;1;-999;-999;-999;1;1;0;1;1;1;1;-999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;4;1
100123;123;1;31;-999;3;2;3;-999;-999;-999;0;1;1;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;3;0
100124;124;1;11;-999;6;2;6;-999;-999;-999;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100125;125;1;31;-999;3;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;3;0
100126;126;1;31;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100127;127;1;51;-999;1;1;1;-999;-999;-999;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;3;0
100128;128;1;51;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;3;0
100129;129;1;31;-999;1;1;1;-999;-999;-999;0;0;0;0;1;1;0;0;0;1;1;1;1;1;-999;0;1;-999;-999;-999;1;1;0;1;0;7;4
100130;130;1;31;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;0;-999;0;1;1;1;1;1;4;1
100131;131;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;1;3;0
100132;132;1;31;-999;3;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;3;0
100133;133;1;31;-999;1;1;1;-999;-999;-999;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;3;0
100134;134;1;1;-999;4;2;3;-999;-999;-999;0;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;1;1;-999;1;1;0;4;1
100135;135;1;31;-999;4;2;3;-999;-999;-999;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;3;0
100136;136;1;31;-999;1;1;1;-999;-999;-999;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;3;0
100137;137;1;31;-999;3;2;3;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100138;138;1;21;-999;4;2;3;-999;-999;-999;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;0;-999;1;0;0;1;1;0;0;4;1
100139;139;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;3;0
100140;140;1;51;-999;1;1;1;-999;-999;-999;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;3;0
100141;141;1;31;-999;4;2;3;-999;-999;-999;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;3;0
100142;142;1;21;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;3;0
100143;143;1;31;-999;6;2;6;-999;-999;-999;-999;1;-999;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;2
100144;144;1;11;-999;3;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;3;0
100145;145;1;31;-999;1;1;1;-999;-999;-999;1;-999;1;1;1;1;1;-999;1;1;1;-999;-999;1;1;1;1;1;1;0;1;1;1;1;1;7;4
100146;146;1;31;-999;6;2;6;-999;-999;-999;0;1;1;1;1;1;0;1;1;0;1;-999;-999;0;1;1;1;1;1;0;1;1;1;1;1;5;2
100147;147;1;21;-999;3;2;3;-999;-999;-999;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;3;0
100148;148;1;51;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;3;0
100149;149;1;11;-999;4;2;3;-999;-999;-999;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;3;0
100150;150;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;3;0
100151;151;1;31;-999;6;2;6;-999;-999;-999;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;3;0
100152;152;1;31;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100153;153;1;31;-999;6;2;6;-999;-999;-999;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;0;3;0
100154;154;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100155;155;1;51;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100156;156;1;21;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100157;157;1;31;-999;1;1;1;-999;-999;-999;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;3;0
100158;158;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100159;159;1;1;-999;6;2;6;-999;-999;-999;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;3;0
