"","trstplc","lrscale","rlgdgr","eduyrs","hinctnt","socialtrust","age"
"212",8,0,2,17,9,6,77
"213",8,2,9,20,3,8,41
"214",9,5,6,18,NA,5.66666666666667,23
"215",10,5,5,11,NA,4,16
"216",7,7,6,19,11,5.33333333333333,47
"217",8,7,7,14,9,6,50
"218",8,0,10,NA,NA,8,NA
"219",3,4,0,18,5,6,27
"220",6,0,8,5,7,7.33333333333333,79
"221",8,5,5,18,9,8.33333333333333,79
"222",5,5,2,15,7,4.33333333333333,27
"223",8,5,9,8,8,10,77
"224",5,5,0,17,12,2.66666666666667,21
"225",8,5,7,16,10,7.66666666666667,40
"226",9,2,5,19,8,8.66666666666667,41
"227",8,3,0,18,11,6.66666666666667,38
"228",9,7,9,18,8,7.66666666666667,60
"229",8,3,6,10,9,3.66666666666667,66
"230",NA,NA,NA,NA,10,NA,22
"231",6,5,7,5,8,6.66666666666667,55
"232",8,5,7,5,11,7.66666666666667,37
"233",8,5,9,16,9,7.33333333333333,46
"234",7,7,4,16,8,6.33333333333333,25
"235",9,6,5,16,8,6,44
"236",4,6,6,16,9,2,36
"237",5,9,7,17,9,6,25
"238",9,4,9,10,9,7.33333333333333,50
"239",8,NA,5,9,NA,5.66666666666667,54
"240",8,6,6,15,10,7.33333333333333,64
"241",9,NA,10,12,9,5.66666666666667,63
"242",8,3,8,14,9,7.66666666666667,59
"243",9,8,10,13,NA,10,40
"244",9,5,7,14,9,8.66666666666667,50
"245",4,5,10,2,NA,5.33333333333333,81
"246",6,3,8,15,9,5,35
"247",8,5,9,11,NA,6.66666666666667,18
"248",7,3,8,15,10,7,38
"249",2,4,1,11,NA,4.66666666666667,16
"250",9,1,0,21,12,8,42
"251",7,5,4,16,9,8.33333333333333,65
"252",7,5,6,19,10,6.66666666666667,48
"253",5,4,9,12,10,5.66666666666667,19
"254",6,1,6,11,NA,7.33333333333333,17
"255",8,3,6,7,6,4,57
"256",10,5,2,12,9,6.33333333333333,28
"257",8,3,2,12,9,6.33333333333333,27
"258",7,5,1,15,9,6.66666666666667,25
"259",5,7,7,10,12,4.66666666666667,38
"260",8,7,5,19,9,8,53
"261",10,NA,0,0,4,NA,87
"262",9,8,7,12,10,7,58
"263",5,3,6,11,8,7.66666666666667,66
"264",9,0,10,17,9,9,68
"265",9,9,7,10,9,8.33333333333333,41
"266",6,6,10,18,7,7,28
"267",5,8,10,8,10,6.66666666666667,43
"268",6,NA,7,14,11,5.66666666666667,19
"269",7,5,8,16,NA,5.66666666666667,59
"270",7,7,8,17,10,6,27
"271",6,6,6,18,10,4.33333333333333,47
"272",9,NA,5,9,11,7.66666666666667,56
"273",7,7,7,17,10,6.66666666666667,23
"274",9,7,2,20,9,7.66666666666667,28
"275",7,7,6,12,9,5.33333333333333,43
"276",4,NA,6,15,11,5.66666666666667,21
"277",4,0,1,10,9,7.66666666666667,29
"278",8,8,7,10,11,7.66666666666667,42
"279",9,8,7,18,10,7,38
"280",9,8,8,18,9,7.66666666666667,37
"281",9,3,10,14,9,NA,22
"282",9,5,8,9,5,8,52
"283",8,5,5,4,9,8,24
"284",6,7,10,10,6,5,56
"285",8,2,0,18,9,8.66666666666667,71
"286",8,6,5,7,NA,7,57
"287",10,6,10,12,4,10,51
"288",8,4,2,10,10,8,58
"289",9,3,9,16,9,7.66666666666667,53
"290",8,5,8,14,8,6,30
"291",10,NA,5,11,NA,4.33333333333333,24
"292",9,5,9,17,12,9,56
"293",4,3,8,12,8,5,17
"294",8,NA,0,12,9,6.33333333333333,24
"295",7,3,7,7,5,8.33333333333333,79
"296",8,5,5,17,9,7.33333333333333,24
"297",10,3,7,10,10,7,54
"298",8,5,7,13,10,6.66666666666667,44
"299",9,5,8,10,10,8.33333333333333,34
"300",7,7,8,16,4,7,39
"301",8,7,7,15,6,5.66666666666667,20
"302",6,4,10,18,11,4,41
"303",5,4,3,9,10,6.33333333333333,34
"304",7,6,6,13,12,6,18
"305",5,3,8,10,9,7,28
"306",9,7,3,10,NA,3.33333333333333,22
"307",7,7,9,10,9,7.66666666666667,58
"308",9,4,6,8,9,7,59
"309",3,7,5,14,NA,5.33333333333333,19
"310",4,3,4,10,9,8.33333333333333,56
"311",8,3,4,15,9,6.66666666666667,43
"312",8,5,8,13,3,7.33333333333333,40
"313",8,5,6,14,NA,5.33333333333333,39
"314",9,3,5,16,7,7.66666666666667,49
"315",8,8,7,12,8,7,40
"316",6,NA,6,15,NA,6,22
"317",8,7,8,12,9,6,36
"318",7,10,10,19,11,6.33333333333333,31
"319",10,3,5,14,10,7,38
"320",7,2,8,19,10,6,26
"321",8,3,7,16,4,6,30
"322",4,5,8,10,8,3.66666666666667,26
"323",10,NA,NA,10,NA,NA,74
"324",8,7,7,19,10,7,36
"325",9,4,6,6,8,8.33333333333333,70
"326",8,8,6,14,11,6.66666666666667,32
"327",8,2,2,6,8,8,75
"328",10,5,7,10,NA,6.33333333333333,15
"329",8,9,8,10,NA,6.66666666666667,67
"330",10,8,8,10,9,8.33333333333333,43
"331",6,6,7,11,5,5.66666666666667,79
"332",9,4,5,16,8,8,44
"333",9,8,8,14,9,6.33333333333333,40
"334",8,10,8,12,8,8.33333333333333,42
"335",3,6,4,15,10,6,55
"336",10,3,9,22,NA,8,49
"337",8,5,7,12,8,6,46
"338",9,3,5,15,10,6.66666666666667,21
"339",3,NA,6,13,9,4.33333333333333,29
"340",8,5,7,8,6,8,61
"341",8,5,10,10,11,5,61
"342",7,8,6,15,11,6.33333333333333,41
"343",7,4,7,14,NA,7.66666666666667,63
"344",2,3,10,15,NA,5.66666666666667,21
"345",10,5,3,10,9,6.66666666666667,44
"346",5,5,5,15,NA,8.33333333333333,42
"347",10,4,5,10,9,6.33333333333333,44
"348",7,4,8,6,7,8.66666666666667,76
"349",6,7,3,4,11,6,26
"350",8,5,5,10,5,3.33333333333333,71
"351",9,3,5,16,10,7.66666666666667,56
"352",2,NA,0,14,11,6.66666666666667,19
"353",6,7,8,17,10,7.66666666666667,36
"354",7,NA,7,15,10,7.66666666666667,24
"355",7,5,2,17,8,7.66666666666667,35
"356",10,5,10,15,12,4.66666666666667,34
"357",8,7,8,14,8,7,38
"358",7,6,5,16,11,8,57
"359",5,NA,8,14,10,4.33333333333333,34
"360",9,8,7,12,11,7.33333333333333,17
"361",8,7,10,13,9,7.33333333333333,61
"362",8,7,2,21,9,8,57
"363",7,5,10,8,4,8.66666666666667,53
"364",6,5,1,15,9,4,23
"365",1,5,5,17,9,7.66666666666667,68
"366",6,6,7,18,10,6,37
"367",7,7,6,15,12,6,51
"368",8,8,5,20,11,6.33333333333333,39
"369",7,6,8,11,11,7.33333333333333,38
"370",8,5,9,5,6,7.66666666666667,77
"371",7,4,5,11,NA,6.33333333333333,24
"372",7,3,5,18,11,5,30
"373",8,3,5,13,11,7,42
"374",4,4,2,15,NA,5,20
"375",9,5,5,20,8,5.66666666666667,52
"376",10,NA,8,11,10,4.66666666666667,39
"377",6,6,8,20,NA,NA,64
"378",5,7,1,14,12,4.66666666666667,22
"379",9,9,2,21,4,6.33333333333333,37
"380",5,10,10,6,6,6,72
"381",6,5,9,12,9,6.33333333333333,43
"382",7,7,6,18,11,7.33333333333333,33
"383",7,2,6,24,10,6.66666666666667,49
"384",9,NA,5,13,NA,10,55
"385",10,9,8,11,10,3.33333333333333,69
"386",4,5,8,16,11,5,28
"387",8,4,0,14,NA,6.66666666666667,20
"388",8,7,10,23,10,7.66666666666667,55
"389",5,3,8,13,7,2.33333333333333,71
"390",9,7,10,14,9,6.66666666666667,44
"391",3,2,1,12,12,8,17
